2022-04-14 16:16:39,883 - DEBUG    - decos.py - Была вызвана функция arg_parser с параметрами (), {}.Вызов из модуля __main__. 
2022-04-14 16:17:04,727 - INFO     - server.py - Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов. 
2022-04-14 16:20:22,556 - DEBUG    - decos.py - Была вызвана функция arg_parser с параметрами (), {}.Вызов из модуля __main__. 
2022-04-14 16:20:29,951 - INFO     - server.py - Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов. 
2022-04-14 16:21:20,423 - DEBUG    - decos.py - Была вызвана функция arg_parser с параметрами (), {}.Вызов из модуля __main__. 
2022-04-14 16:22:19,941 - INFO     - server.py - Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов. 
2022-04-14 16:28:45,384 - DEBUG    - decos.py - Была вызвана функция arg_parser с параметрами (), {}.Вызов из модуля __main__. 
2022-04-14 16:28:59,056 - INFO     - server.py - Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов. 
2022-04-14 16:36:24,261 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 50224) 
2022-04-14 16:37:18,285 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=1112, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50224)>,), {}.Вызов из модуля common.utils. 
2022-04-14 16:37:49,121 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1649928888.8699613, 'user': {'account_name': 'Guest'}} 
2022-04-14 16:38:04,337 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=1112, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50224)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-14 16:39:53,322 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1649928888.8699613, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=1112, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50224)>), {}.Вызов из модуля __main__. 
2022-04-14 16:42:10,330 - DEBUG    - decos.py - Была вызвана функция arg_parser с параметрами (), {}.Вызов из модуля __main__. 
2022-04-14 16:42:14,081 - INFO     - server.py - Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов. 
2022-04-14 16:43:13,953 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 50298) 
2022-04-14 16:43:30,712 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50298)>,), {}.Вызов из модуля common.utils. 
2022-04-14 16:43:37,409 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1649929394.5058517, 'user': {'account_name': 'Guest'}} 
2022-04-14 16:44:57,389 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50298)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-14 16:45:18,938 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1649929394.5058517, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=1192, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50298)>), {}.Вызов из модуля __main__. 
2022-04-14 16:50:04,718 - DEBUG    - decos.py - Была вызвана функция arg_parser с параметрами (), {}.Вызов из модуля __main__. 
2022-04-14 16:50:10,706 - INFO     - server.py - Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов. 
2022-04-14 16:52:27,134 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 50385) 
2022-04-14 16:53:46,346 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=652, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50385)>,), {}.Вызов из модуля common.utils. 
2022-04-14 16:53:50,111 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1649929885.418631, 'user': {'account_name': 'Guest'}} 
2022-04-14 16:54:11,587 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=652, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50385)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-14 16:57:26,107 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1649929885.418631, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=652, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50385)>), {}.Вызов из модуля __main__. 
2022-04-14 16:58:31,179 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=652, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50385)>,), {}.Вызов из модуля common.utils. 
2022-04-14 16:58:43,919 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'message', 'time': 1649930160.9310074, 'account_name': 'Guest', 'mess_text': 'Hi'} 
2022-04-14 16:59:02,510 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': 1649930160.9310074, 'account_name': 'Guest', 'mess_text': 'Hi'}, [('Guest', 'Hi')], <socket.socket fd=652, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50385)>), {}.Вызов из модуля __main__. 
2022-04-14 17:00:59,807 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=652, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50385)>, {'action': 'message', 'sender': 'Guest', 'time': 1649930440.0354512, 'mess_text': 'Hi'}), {}.Вызов из модуля common.utils. 
2022-04-14 17:22:15,425 - DEBUG    - decos.py - Была вызвана функция arg_parser с параметрами (), {}.Вызов из модуля __main__. 
2022-04-14 17:22:15,426 - INFO     - server.py - Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов. 
2022-04-14 17:34:43,055 - DEBUG    - decos.py - Была вызвана функция arg_parser с параметрами (), {}.Вызов из модуля __main__. 
2022-04-14 17:34:43,055 - INFO     - server.py - Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов. 
2022-04-14 17:34:43,383 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 50763) 
2022-04-14 17:34:43,383 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 50764) 
2022-04-14 17:34:43,383 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50763)>,), {}.Вызов из модуля common.utils. 
2022-04-14 17:34:43,383 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1649932483.3839364, 'user': {'account_name': 'Guest'}} 
2022-04-14 17:34:43,399 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50763)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-14 17:34:43,399 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1649932483.3839364, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50763)>), {}.Вызов из модуля __main__. 
2022-04-14 17:34:43,399 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50764)>,), {}.Вызов из модуля common.utils. 
2022-04-14 17:34:43,399 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1649932483.3839364, 'user': {'account_name': 'Guest'}} 
2022-04-14 17:34:43,399 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50764)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-14 17:34:43,399 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1649932483.3839364, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50764)>), {}.Вызов из модуля __main__. 
2022-04-14 17:34:43,415 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 50765) 
2022-04-14 17:34:43,493 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 50766) 
2022-04-14 17:34:43,493 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50765)>,), {}.Вызов из модуля common.utils. 
2022-04-14 17:34:43,493 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1649932483.4151871, 'user': {'account_name': 'Guest'}} 
2022-04-14 17:34:43,508 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50765)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-14 17:34:43,508 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1649932483.4151871, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50765)>), {}.Вызов из модуля __main__. 
2022-04-14 17:34:44,008 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50766)>,), {}.Вызов из модуля common.utils. 
2022-04-14 17:34:44,008 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1649932483.4933126, 'user': {'account_name': 'Guest'}} 
2022-04-14 17:34:44,008 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50766)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-14 17:34:44,008 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1649932483.4933126, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50766)>), {}.Вызов из модуля __main__. 
2022-04-14 17:35:37,670 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50764)>,), {}.Вызов из модуля common.utils. 
2022-04-14 17:35:37,670 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'message', 'time': 1649932537.6076555, 'account_name': 'Guest', 'mess_text': 'всем привет'} 
2022-04-14 17:35:37,670 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': 1649932537.6076555, 'account_name': 'Guest', 'mess_text': 'всем привет'}, [('Guest', 'всем привет')], <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50764)>), {}.Вызов из модуля __main__. 
2022-04-14 17:35:37,670 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50763)>, {'action': 'message', 'sender': 'Guest', 'time': 1649932537.670181, 'mess_text': 'всем привет'}), {}.Вызов из модуля common.utils. 
2022-04-14 17:35:37,670 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50764)>, {'action': 'message', 'sender': 'Guest', 'time': 1649932537.670181, 'mess_text': 'всем привет'}), {}.Вызов из модуля common.utils. 
2022-04-14 17:35:37,670 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50765)>, {'action': 'message', 'sender': 'Guest', 'time': 1649932537.670181, 'mess_text': 'всем привет'}), {}.Вызов из модуля common.utils. 
